dateTime,mm 15min
2018-10-10T01:15:00,0
2018-10-10T01:30:00,0
2018-10-10T01:45:00,0
2018-10-10T02:00:00,0
2018-10-10T02:15:00,0
2018-10-10T02:30:00,0
2018-10-10T02:45:00,0
2018-10-10T03:00:00,0
2018-10-10T03:15:00,0
2018-10-10T03:30:00,0
2018-10-10T03:45:00,0
2018-10-10T04:00:00,0
2018-10-10T04:15:00,0
2018-10-10T04:30:00,0
2018-10-10T04:45:00,0
2018-10-10T05:00:00,0
2018-10-10T05:15:00,0
2018-10-10T05:30:00,0
2018-10-10T05:45:00,0
2018-10-10T06:00:00,0
2018-10-10T06:15:00,0
2018-10-10T06:30:00,0
2018-10-10T06:45:00,0
2018-10-10T07:00:00,0
2018-10-10T07:15:00,0
2018-10-10T07:30:00,0
2018-10-10T07:45:00,0
2018-10-10T08:00:00,0
2018-10-10T08:15:00,0
2018-10-10T08:30:00,0
2018-10-10T08:45:00,0
2018-10-10T09:00:00,0
2018-10-10T09:15:00,0
2018-10-10T09:30:00,0
2018-10-10T09:45:00,0
2018-10-10T10:00:00,0
2018-10-10T10:15:00,0
2018-10-10T10:30:00,0
2018-10-10T10:45:00,0
2018-10-10T11:00:00,0
2018-10-10T11:15:00,0
2018-10-10T11:30:00,0
2018-10-10T11:45:00,0
2018-10-10T12:00:00,0
2018-10-10T12:15:00,0
2018-10-10T12:30:00,0
2018-10-10T12:45:00,0
2018-10-10T13:00:00,0
2018-10-10T13:15:00,0
2018-10-10T13:30:00,0
2018-10-10T13:45:00,0
2018-10-10T14:00:00,0
2018-10-10T14:15:00,0
2018-10-10T14:30:00,0
2018-10-10T14:45:00,0
2018-10-10T15:00:00,0
2018-10-10T15:15:00,0
2018-10-10T15:30:00,0
2018-10-10T15:45:00,0
2018-10-10T16:00:00,0
2018-10-10T16:15:00,0
2018-10-10T16:30:00,0
2018-10-10T16:45:00,0
2018-10-10T17:00:00,0
2018-10-10T17:15:00,0
2018-10-10T17:30:00,0
2018-10-10T17:45:00,0
2018-10-10T18:00:00,0
2018-10-10T18:15:00,0
2018-10-10T18:30:00,0
2018-10-10T18:45:00,0
2018-10-10T19:00:00,0
2018-10-10T19:15:00,0
2018-10-10T19:30:00,0
2018-10-10T19:45:00,0
2018-10-10T20:00:00,0
2018-10-10T20:15:00,0
2018-10-10T20:30:00,0
2018-10-10T20:45:00,0
2018-10-10T21:00:00,0
2018-10-10T21:15:00,0
2018-10-10T21:30:00,0
2018-10-10T21:45:00,0
2018-10-10T22:00:00,0
2018-10-10T22:15:00,0
2018-10-10T22:30:00,0
2018-10-10T22:45:00,0
2018-10-10T23:00:00,0
2018-10-10T23:15:00,0
2018-10-10T23:30:00,0
2018-10-10T23:45:00,0
2018-10-11T00:00:00,0
2018-10-11T00:15:00,0
2018-10-11T00:30:00,0
2018-10-11T00:45:00,0
2018-10-11T01:00:00,0
2018-10-11T01:15:00,0
2018-10-11T01:30:00,0
2018-10-11T01:45:00,0
2018-10-11T02:00:00,0
2018-10-11T02:15:00,0
2018-10-11T02:30:00,0
2018-10-11T02:45:00,0
2018-10-11T03:00:00,0
2018-10-11T03:15:00,0
2018-10-11T03:30:00,0
2018-10-11T03:45:00,0
2018-10-11T04:00:00,0
2018-10-11T04:15:00,0
2018-10-11T04:30:00,0
2018-10-11T04:45:00,0
2018-10-11T05:00:00,0
2018-10-11T05:15:00,0
2018-10-11T05:30:00,0
2018-10-11T05:45:00,0
2018-10-11T06:00:00,0
2018-10-11T06:15:00,0
2018-10-11T06:30:00,0
2018-10-11T06:45:00,0
2018-10-11T07:00:00,0
2018-10-11T07:15:00,0
2018-10-11T07:30:00,0
2018-10-11T07:45:00,0
2018-10-11T08:00:00,0
2018-10-11T08:15:00,0
2018-10-11T08:30:00,0
2018-10-11T08:45:00,0
2018-10-11T09:00:00,0.11
2018-10-11T09:15:00,0.37
2018-10-11T09:30:00,0
2018-10-11T09:45:00,0
2018-10-11T10:00:00,0
2018-10-11T10:15:00,0
2018-10-11T10:30:00,0
2018-10-11T10:45:00,0
2018-10-11T11:00:00,0
2018-10-11T11:15:00,0
2018-10-11T11:30:00,0
2018-10-11T11:45:00,0
2018-10-11T12:00:00,0
2018-10-11T12:15:00,0
2018-10-11T12:30:00,0.04
2018-10-11T12:45:00,0
2018-10-11T13:00:00,0
2018-10-11T13:15:00,0.09
2018-10-11T13:30:00,0.12
2018-10-11T13:45:00,0
2018-10-11T14:00:00,0.07
2018-10-11T14:15:00,0.06
2018-10-11T14:30:00,0.3
2018-10-11T14:45:00,0.46
2018-10-11T15:00:00,0.46
2018-10-11T15:15:00,0.15
2018-10-11T15:30:00,0.04
2018-10-11T15:45:00,0
2018-10-11T16:00:00,0.87
2018-10-11T16:15:00,0.67
2018-10-11T16:30:00,0.27
2018-10-11T16:45:00,0.31
2018-10-11T17:00:00,0.28
2018-10-11T17:15:00,0
2018-10-11T17:30:00,0
2018-10-11T17:45:00,0.15
2018-10-11T18:00:00,0.15
2018-10-11T18:15:00,0.09
2018-10-11T18:30:00,0.34
2018-10-11T18:45:00,0
2018-10-11T19:00:00,0
2018-10-11T19:15:00,0
2018-10-11T19:30:00,0
2018-10-11T19:45:00,0
2018-10-11T20:00:00,0
2018-10-11T20:15:00,0
2018-10-11T20:30:00,0
2018-10-11T20:45:00,0
2018-10-11T21:00:00,0
2018-10-11T21:15:00,0
2018-10-11T21:30:00,0
2018-10-11T21:45:00,0
2018-10-11T22:00:00,0
2018-10-11T22:15:00,0
2018-10-11T22:30:00,0
2018-10-11T22:45:00,0
2018-10-11T23:00:00,0
2018-10-11T23:15:00,0
2018-10-11T23:30:00,0
2018-10-11T23:45:00,0
2018-10-12T00:00:00,0
2018-10-12T00:15:00,0
2018-10-12T00:30:00,0
2018-10-12T00:45:00,0
2018-10-12T01:00:00,0
2018-10-12T01:15:00,0
2018-10-12T01:30:00,0
2018-10-12T01:45:00,0
2018-10-12T02:00:00,0
2018-10-12T02:15:00,0
2018-10-12T02:30:00,0
2018-10-12T02:45:00,0
2018-10-12T03:00:00,0
2018-10-12T03:15:00,0
2018-10-12T03:30:00,0
2018-10-12T03:45:00,0
2018-10-12T04:00:00,0
2018-10-12T04:15:00,0.17
2018-10-12T04:30:00,0.9
2018-10-12T04:45:00,1.73
2018-10-12T05:00:00,1.49
2018-10-12T05:15:00,2.15
2018-10-12T05:30:00,1.93
2018-10-12T05:45:00,0.29
2018-10-12T06:00:00,0.08
2018-10-12T06:15:00,0
2018-10-12T06:30:00,0
2018-10-12T06:45:00,0
2018-10-12T07:00:00,0
2018-10-12T07:15:00,0
2018-10-12T07:30:00,0
2018-10-12T07:45:00,0
2018-10-12T08:00:00,0
2018-10-12T08:15:00,0
2018-10-12T08:30:00,0
2018-10-12T08:45:00,0
2018-10-12T09:00:00,0
2018-10-12T09:15:00,0
2018-10-12T09:30:00,0
2018-10-12T09:45:00,0
2018-10-12T10:00:00,0
2018-10-12T10:15:00,0
2018-10-12T10:30:00,0
2018-10-12T10:45:00,0.09
2018-10-12T11:00:00,0.12
2018-10-12T11:15:00,0.06
2018-10-12T11:30:00,0.36
2018-10-12T11:45:00,0.8
2018-10-12T12:00:00,0.29
2018-10-12T12:15:00,0.2
2018-10-12T12:30:00,2.08
2018-10-12T12:45:00,0.16
2018-10-12T13:00:00,0.08
2018-10-12T13:15:00,0.42
2018-10-12T13:30:00,0.35
2018-10-12T13:45:00,1.5
2018-10-12T14:00:00,1.21
2018-10-12T14:15:00,0.84
2018-10-12T14:30:00,0.87
2018-10-12T14:45:00,1.81
2018-10-12T15:00:00,1.51
2018-10-12T15:15:00,1.63
2018-10-12T15:30:00,1.67
2018-10-12T15:45:00,2.37
2018-10-12T16:00:00,1.94
2018-10-12T16:15:00,3.67
2018-10-12T16:30:00,3.97
2018-10-12T16:45:00,2.95
2018-10-12T17:00:00,3.07
2018-10-12T17:15:00,2.85
2018-10-12T17:30:00,1.83
2018-10-12T17:45:00,3.64
2018-10-12T18:00:00,1.69
2018-10-12T18:15:00,1.84
2018-10-12T18:30:00,0.67
2018-10-12T18:45:00,1.61
2018-10-12T19:00:00,0.55
2018-10-12T19:15:00,0.65
2018-10-12T19:30:00,0.81
2018-10-12T19:45:00,1.39
2018-10-12T20:00:00,1.19
2018-10-12T20:15:00,1.34
2018-10-12T20:30:00,1.22
2018-10-12T20:45:00,0.84
2018-10-12T21:00:00,0.41
2018-10-12T21:15:00,0.24
2018-10-12T21:30:00,0.11
2018-10-12T21:45:00,0.06
2018-10-12T22:00:00,0.04
2018-10-12T22:15:00,0.06
2018-10-12T22:30:00,0
2018-10-12T22:45:00,0
2018-10-12T23:00:00,0
2018-10-12T23:15:00,0.2
2018-10-12T23:30:00,0.35
2018-10-12T23:45:00,0.03
2018-10-13T00:00:00,0.24
2018-10-13T00:15:00,0.24
2018-10-13T00:30:00,0.08
2018-10-13T00:45:00,0.25
2018-10-13T01:00:00,0.93
2018-10-13T01:15:00,1.14
2018-10-13T01:30:00,0.63
2018-10-13T01:45:00,0.91
2018-10-13T02:00:00,1.22
2018-10-13T02:15:00,0.89
2018-10-13T02:30:00,0.84
2018-10-13T02:45:00,0.75
2018-10-13T03:00:00,0.42
2018-10-13T03:15:00,0.47
2018-10-13T03:30:00,0.3
2018-10-13T03:45:00,0.66
2018-10-13T04:00:00,0.97
2018-10-13T04:15:00,2.04
2018-10-13T04:30:00,1.19
2018-10-13T04:45:00,0.93
2018-10-13T05:00:00,0.71
2018-10-13T05:15:00,0.71
2018-10-13T05:30:00,0.52
2018-10-13T05:45:00,0.52
2018-10-13T06:00:00,0.75
2018-10-13T06:15:00,0.56
2018-10-13T06:30:00,0.71
2018-10-13T06:45:00,0.81
2018-10-13T07:00:00,0.81
2018-10-13T07:15:00,0.62
2018-10-13T07:30:00,1.35
2018-10-13T07:45:00,0.72
2018-10-13T08:00:00,0.99
2018-10-13T08:15:00,0.44
2018-10-13T08:30:00,1.61
2018-10-13T08:45:00,1.75
2018-10-13T09:00:00,2.06
2018-10-13T09:15:00,1.43
2018-10-13T09:30:00,2.75
2018-10-13T09:45:00,0.8
2018-10-13T10:00:00,0.25
2018-10-13T10:15:00,0.91
2018-10-13T10:30:00,1.56
2018-10-13T10:45:00,2.11
2018-10-13T11:00:00,2.56
2018-10-13T11:15:00,0.45
2018-10-13T11:30:00,2.15
2018-10-13T11:45:00,2.41
2018-10-13T12:00:00,2.98
2018-10-13T12:15:00,4.14
2018-10-13T12:30:00,5.19
2018-10-13T12:45:00,2.85
2018-10-13T13:00:00,1.47
2018-10-13T13:15:00,0.15
2018-10-13T13:30:00,1.21
2018-10-13T13:45:00,2.58
2018-10-13T14:00:00,3.1
2018-10-13T14:15:00,2.44
2018-10-13T14:30:00,4.83
2018-10-13T14:45:00,2.66
2018-10-13T15:00:00,2.09
2018-10-13T15:15:00,0.63
2018-10-13T15:30:00,0.07
2018-10-13T15:45:00,0
2018-10-13T16:00:00,0
2018-10-13T16:15:00,0
2018-10-13T16:30:00,0.78
2018-10-13T16:45:00,1.89
2018-10-13T17:00:00,0.23
2018-10-13T17:15:00,0
2018-10-13T17:30:00,0
2018-10-13T17:45:00,0
2018-10-13T18:00:00,0
2018-10-13T18:15:00,0.04
2018-10-13T18:30:00,8.53
2018-10-13T18:45:00,1.47
2018-10-13T19:00:00,2.02
2018-10-13T19:15:00,3.16
2018-10-13T19:30:00,1.88
2018-10-13T19:45:00,2.98
2018-10-13T20:00:00,1.29
2018-10-13T20:15:00,2.02
2018-10-13T20:30:00,1.35
2018-10-13T20:45:00,0.2
2018-10-13T21:00:00,0.04
2018-10-13T21:15:00,0.06
2018-10-13T21:30:00,0.16
2018-10-13T21:45:00,0.02
2018-10-13T22:00:00,0.22
2018-10-13T22:15:00,0.08
2018-10-13T22:30:00,0
2018-10-13T22:45:00,0
2018-10-13T23:00:00,0
2018-10-13T23:15:00,0
2018-10-13T23:30:00,0
2018-10-13T23:45:00,0
2018-10-14T00:00:00,0
2018-10-14T00:15:00,0
2018-10-14T00:30:00,0
2018-10-14T00:45:00,0
2018-10-14T01:00:00,0.28
2018-10-14T01:15:00,0
2018-10-14T01:30:00,0
2018-10-14T01:45:00,0
2018-10-14T02:00:00,0
2018-10-14T02:15:00,0
2018-10-14T02:30:00,0
2018-10-14T02:45:00,0
2018-10-14T03:00:00,0
2018-10-14T03:15:00,0
2018-10-14T03:30:00,0
2018-10-14T03:45:00,0
2018-10-14T04:00:00,0
2018-10-14T04:15:00,0
2018-10-14T04:30:00,0
2018-10-14T04:45:00,0
2018-10-14T05:00:00,0
2018-10-14T05:15:00,0
2018-10-14T05:30:00,0
2018-10-14T05:45:00,0
2018-10-14T06:00:00,0
2018-10-14T06:15:00,0
2018-10-14T06:30:00,0
2018-10-14T06:45:00,0
2018-10-14T07:00:00,0
2018-10-14T07:15:00,0
2018-10-14T07:30:00,0
2018-10-14T07:45:00,0
2018-10-14T08:00:00,0
2018-10-14T08:15:00,0
2018-10-14T08:30:00,0
2018-10-14T08:45:00,0
2018-10-14T09:00:00,0
2018-10-14T09:15:00,0
2018-10-14T09:30:00,0
2018-10-14T09:45:00,0
2018-10-14T10:00:00,0
2018-10-14T10:15:00,0
2018-10-14T10:30:00,0
2018-10-14T10:45:00,0
2018-10-14T11:00:00,0
2018-10-14T11:15:00,0
2018-10-14T11:30:00,0
2018-10-14T11:45:00,0
2018-10-14T12:00:00,0
2018-10-14T12:15:00,0
2018-10-14T12:30:00,0
2018-10-14T12:45:00,0
2018-10-14T13:00:00,0
2018-10-14T13:15:00,0
2018-10-14T13:30:00,0
2018-10-14T13:45:00,0
2018-10-14T14:00:00,0
2018-10-14T14:15:00,0
2018-10-14T14:30:00,0
2018-10-14T14:45:00,0
2018-10-14T15:00:00,0
2018-10-14T15:15:00,0
2018-10-14T15:30:00,0
2018-10-14T15:45:00,0
2018-10-14T16:00:00,0
2018-10-14T16:15:00,0
2018-10-14T16:30:00,0
2018-10-14T16:45:00,0
2018-10-14T17:00:00,0
2018-10-14T17:15:00,0
2018-10-14T17:30:00,0
2018-10-14T17:45:00,0
2018-10-14T18:00:00,0
2018-10-14T18:15:00,0
2018-10-14T18:30:00,0
2018-10-14T18:45:00,0
2018-10-14T19:00:00,0
2018-10-14T19:15:00,0
2018-10-14T19:30:00,0
2018-10-14T19:45:00,0
2018-10-14T20:00:00,0
2018-10-14T20:15:00,0
2018-10-14T20:30:00,0
2018-10-14T20:45:00,0
2018-10-14T21:00:00,0
2018-10-14T21:15:00,0
2018-10-14T21:30:00,0
2018-10-14T21:45:00,0
2018-10-14T22:00:00,0
2018-10-14T22:15:00,0
2018-10-14T22:30:00,0
2018-10-14T22:45:00,0
2018-10-14T23:00:00,0
2018-10-14T23:15:00,0
2018-10-14T23:30:00,0
2018-10-14T23:45:00,0
